"nm0502055"|||"Lea Lennon"|||\N|||\N|||"\"art_department,production_designer,miscellaneous\""|||"\"tt0156807,tt0133093,tt0236019,tt0303251\""
"nm0504970"|||"Shing-Hung Leung"|||\N|||\N|||"\"actor,stunts,miscellaneous\""|||"\"tt0108630,tt0133093,tt2186715,tt0098314\""
"nm0507396"|||"Judy Lewis"|||\N|||\N|||"special_effects"|||"tt0133093"
"nm0511123"|||"Julie-Anne Lincoln"|||\N|||\N|||"miscellaneous"|||"tt0133093"
"nm0511204"|||"Ian Lind"|||\N|||\N|||"\"stunts,actor,miscellaneous\""|||"\"tt0089530,tt0133093,tt0098141,tt0203009\""
"nm0514727"|||"Joseph Littlejohn"|||\N|||\N|||"visual_effects"|||"tt0133093"
"nm0514756"|||"Tim Littleton"|||\N|||\N|||"\"casting_director,casting_department\""|||"\"tt1043860,tt0133093,tt1442566,tt0108709\""
"nm0519458"|||"Sophia S. Longoria"|||\N|||\N|||"visual_effects"|||"\"tt0401792,tt0129924,tt0133093,tt0162065\""
"nm0522457"|||"Chris Loveday"|||\N|||\N|||"\"camera_department,miscellaneous\""|||"\"tt0116654,tt0133093,tt0118929,tt0259324\""
"nm0523382"|||"Belinda Lowson"|||\N|||\N|||"miscellaneous"|||"\"tt0379918,tt0120755,tt0133093,tt0121765\""
"nm0524281"|||"Simon Lucas"|||\N|||\N|||"\"production_manager,miscellaneous,location_management\""|||"\"tt0234215,tt0133093,tt1456941,tt0199753\""
"nm0536586"|||"Jane Maguire"|||\N|||\N|||"\"editorial_department,production_manager,sound_department\""|||"\"tt6292852,tt0118929,tt0133093,tt6499752\""
"nm0552594"|||"Justin Martin"|||\N|||\N|||"\"visual_effects,actor\""|||"\"tt0330373,tt0133093,tt0118929,tt0770828\""
"nm0560216"|||"Will Matthews"|||\N|||\N|||"production_manager"|||"\"tt0112431,tt0118929,tt0133093,tt0120755\""
"nm0568442"|||"Marta McElroy"|||\N|||\N|||"\"art_department,costume_department,set_decorator\""|||"\"tt0100786,tt0086617,tt0133093,tt0118929\""
"nm0568894"|||"Michelle McGahey"|||\N|||\N|||"\"production_designer,art_director,art_department\""|||"\"tt1456941,tt0133093,tt1448755,tt0118929\""
"nm0574863"|||"Phil Meacham"|||\N|||\N|||"\"stunts,actor\""|||"\"tt0116654,tt0133093,tt0106950,tt0118929\""
"nm0585570"|||"Suzanne Middleton"|||\N|||\N|||"miscellaneous"|||"tt0133093"
"nm0592385"|||"Richard Mirisch"|||\N|||\N|||"\"producer,production_manager,miscellaneous\""|||"\"tt1401152,tt0133093,tt0306685,tt0480255\""
"nm0593256"|||"Darren Andrew Mitchell"|||\N|||\N|||"\"stunts,actor\""|||"\"tt1448755,tt0133093,tt2126355,tt1392190\""
"nm0594628"|||"Noah Mizrahi"|||\N|||\N|||"\"visual_effects,costume_department\""|||"\"tt0884328,tt0133093,tt0234215,tt0242653\""
"nm0603780"|||"Tom Morello"|||"1964"|||\N|||"\"soundtrack,actor,composer\""|||"\"tt1440129,tt0133093,tt1663662,tt0433035\""
"nm0606303"|||"Joseph M. Horrigan"|||\N|||\N|||"miscellaneous"|||"\"tt0397101,tt1392170,tt0133093,tt5052474\""
"nm0606953"|||"Steve Morris"|||\N|||\N|||"\"stunts,actor,soundtrack\""|||"\"tt0382992,tt0133093,tt1430132,tt0121765\""
"nm0613133"|||"Jay Munro"|||\N|||\N|||"camera_department"|||"\"tt4779682,tt6306064,tt0133093,tt0234215\""
"nm0614706"|||"Shane Murphy"|||\N|||\N|||"\"special_effects,visual_effects\""|||"\"tt0366174,tt0118929,tt0133093,tt0199753\""
"nm0619263"|||"Dave Nagel"|||\N|||\N|||"\"art_department,special_effects\""|||"\"tt0199753,tt1051906,tt0133093,tt0234215\""
"nm0629142"|||"'Longy' Nguyin"|||\N|||\N|||"miscellaneous"|||"tt0133093"
"nm0631248"|||"Grant Niesner"|||"1967"|||\N|||"\"visual_effects,art_department,animation_department\""|||"\"tt0242653,tt0133093,tt0120889,tt0234215\""
"nm0637729"|||"Gerry Nucifora"|||\N|||\N|||"sound_department"|||"\"tt0458525,tt1456941,tt0133093,tt0234215\""
"nm0637801"|||"John P. Nugent"|||\N|||\N|||"\"visual_effects,actor,special_effects\""|||"\"tt0167260,tt0133093,tt0167261,tt0120737\""
"nm0642492"|||"Tommy O'Reilly"|||\N|||\N|||"miscellaneous"|||"tt0133093"
"nm0651633"|||"Danielle Osborne"|||\N|||\N|||"\"costume_department,production_designer,art_department\""|||"\"tt0120737,tt0133093,tt0167260,tt0167261\""
"nm0651738"|||"Robina Osborne"|||\N|||\N|||"\"art_department,miscellaneous,special_effects\""|||"\"tt0203009,tt0133093,tt1456941,tt0120755\""
"nm0653578"|||"Brigid Oulsnam"|||\N|||\N|||"special_effects"|||"tt0133093"
"nm0662562"|||"Anthony Ray Parker"|||"1958"|||\N|||"actor"|||"\"tt0993841,tt0133093,tt0116365,tt0419946\""
"nm0665517"|||"Owen Paterson"|||\N|||\N|||"\"production_designer,art_director,art_department\""|||"\"tt0109045,tt3498820,tt0133093,tt0434409\""
"nm0669452"|||"Toby Pease"|||\N|||\N|||"\"assistant_director,production_manager,producer\""|||"\"tt2431438,tt0120338,tt0133093,tt0374463\""
"nm0671665"|||"Janaya Pender"|||\N|||\N|||"actress"|||"tt0133093"
"nm0676530"|||"Julia Peters"|||\N|||\N|||"\"producer,director,actress\""|||"\"tt9893856,tt0133093,tt0082201,tt8166030\""
"nm0678780"|||"Devorah Petty"|||\N|||\N|||"\"visual_effects,special_effects\""|||"\"tt0435705,tt0133093,tt0986263,tt0181689\""
"nm0682633"|||"Gerard Benjamin Pierre"|||\N|||\N|||"visual_effects"|||"\"tt1300854,tt0120737,tt0133093,tt1136608\""
"nm0686043"|||"Tapio Piitulainen"|||\N|||\N|||"transportation_department"|||"\"tt0397065,tt0118929,tt0133093,tt0117427\""
"nm0689022"|||"Robert Polgar"|||\N|||\N|||"\"miscellaneous,camera_department,visual_effects\""|||"\"tt0827735,tt14110984,tt0133093,tt0122151\""
"nm0691084"|||"Bill Pope"|||"1952"|||\N|||"\"cinematographer,director,camera_department\""|||"\"tt0316654,tt3040964,tt0133093,tt3890160\""
"nm0692329"|||"Wayne Porter"|||\N|||\N|||"\"art_department,transportation_department\""|||"\"tt0121765,tt0203009,tt0133093,tt0106950\""
"nm0694011"|||"Andrew Powell"|||\N|||\N|||"art_department"|||"\"tt0121765,tt0133093,tt0203009,tt0374463\""
"nm0697252"|||"David Pride"|||\N|||\N|||"\"special_effects,visual_effects,art_department\""|||"\"tt0118929,tt0133093,tt0382992,tt0199753\""
"nm0698421"|||"Thomas Proctor"|||\N|||\N|||"visual_effects"|||"\"tt1478964,tt0770828,tt0133093,tt12361974\""
"nm0699930"|||"Reinaldo Puentes-Tucki"|||\N|||\N|||"\"miscellaneous,art_department\""|||"\"tt0234215,tt0199753,tt0133093,tt0118929\""
"nm0704280"|||"Luke Quinton"|||\N|||\N|||"\"stunts,actor,miscellaneous\""|||"\"tt0120755,tt0121766,tt0133093,tt1343092\""
"nm0705360"|||"Holly Radcliffe"|||\N|||\N|||"\"production_manager,visual_effects,producer\""|||"\"tt1392190,tt0343818,tt0133093,tt0770752\""
"nm0718099"|||"Django Reinhardt"|||"1910"|||"1953"|||"\"soundtrack,composer,music_department\""|||"\"tt0242653,tt0119177,tt0133093,tt0110216\""
"nm0718676"|||"John T. Reitz"|||\N|||\N|||"sound_department"|||"\"tt1133985,tt0133093,tt3397884,tt2179136\""
"nm0727015"|||"Deborah Riley"|||"1973"|||\N|||"\"production_designer,art_director,art_department\""|||"\"tt0203009,tt0315733,tt0133093,tt0944947\""
"nm0728726"|||"Charles W. Ritter"|||\N|||\N|||"sound_department"|||"\"tt0396555,tt0133093,tt0346156,tt2294629\""
"nm0741946"|||"Daniel P. Rosen"|||"1971"|||\N|||"\"visual_effects,art_department,producer\""|||"\"tt0796366,tt0133093,tt0458339,tt0848228\""
"nm0746722"|||"Marge Rowland"|||"1949"|||"2018"|||"\"miscellaneous,location_management\""|||"\"tt0285531,tt0086034,tt0133093,tt0113189\""
"nm0747133"|||"Noni Roy"|||\N|||\N|||"assistant_director"|||"\"tt0290747,tt0133093,tt0199753,tt0362165\""
"nm0752778"|||"Paul Ryan"|||\N|||\N|||"\"special_effects,visual_effects,assistant_director\""|||"\"tt0133152,tt0133093,tt1136608,tt0499549\""
"nm0802938"|||"Janek Sirrs"|||"1965"|||\N|||"\"visual_effects,assistant_director\""|||"\"tt0848228,tt0133093,tt1228705,tt0480249\""
"nm0803885"|||"Peter Skarratt"|||\N|||\N|||"\"editorial_department,visual_effects,editor\""|||"\"tt1823672,tt0120737,tt0133093,tt0167260\""
"nm0814542"|||"Brit Sooby"|||\N|||\N|||"\"stunts,miscellaneous,actress\""|||"\"tt0348150,tt0133093,tt0242653,tt0134847\""
